product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,social connectedness,environment,self_sufficiency,transparency_authenticity,tradition,individuality,diversity_equality,privacy,status,thrift_value,innovation,fun_adventure,health
Crane Usa EE-5301 Cool Mist 2.3-Gallon Humidifier,Health & Personal Care,2,0,0,N,Y,If only it still worked....,"This product was great! for about a month, I loved the simplicity of it, never had any issues with it being dirty, ran it about every day to humidify the room and could point the mist direction exactly where I needed it to go. Loved it!<br /><br />That is, until one night I turned it off woke up the next morning turned it on and poof the mist was gone, I can still hear the motor working although it does not do anything anymore!<br /><br />Ugh back to square one of trying to find a good and lasting humidifier that has a spout.<br /><br />Too expensive to just randomly quit working!",7/28/2012,0,0,0,0,0,0,0,0,0,1,0,0,0
"Medline Herringbone Cotton Dish Towels, 1 Dozen",Health & Personal Care,3,0,0,N,Y,Three Stars,The material isn't great. Doesn't dry hardly at all.,12/16/2014,0,0,0,0,0,0,0,0,0,1,0,0,0
CytoSport Muscle Milk Snack Protein Bar,Health & Personal Care,4,0,0,N,Y,good,"This product tastes good, they are a bit smaller than some others I have had locally but this was a product that I would buy again.",4/24/2013,0,0,0,0,0,0,0,0,0,1,0,0,0
Toothco for ProResults,Health & Personal Care,5,0,0,N,N,Excellent,Excellent,8/6/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
"Reynolds Consumer Products 1001090008031 Aluminum Foil, 30-Sq. Ft.",Health & Personal Care,1,0,0,N,Y,Worst foil ever...,"This foil is so thin that if a mosquito were to fly into it, his proboscis would puncture it. It is impossible to even tear a piece off without ripping it. Straight into the recycling it goes!",11/7/2013,0,0,0,0,0,0,0,0,0,1,0,0,0
AST Sports Science Multi Pro-32X,Health & Personal Care,5,4,4,N,Y,Really good supplement,These multis have been working for me for a couple of years now. I have tried others but eventually go back to this one.<br /><br />They have the proper dosages and you only need to take one a day.,5/27/2011,0,0,0,0,0,0,0,0,1,1,0,0,1
UV Total Recovery Shoe Sanitizer,Health & Personal Care,5,0,0,N,Y,Five Stars,"Works great, can use for items other than shoes also.",7/18/2014,0,0,0,0,0,0,0,0,0,1,0,0,0
"Mutant Stimutant Extreme Focus and Intensity Fat Shredding, 90 Count",Health & Personal Care,1,0,3,N,Y,One Star,Junk,9/13/2014,0,0,0,0,0,0,0,0,0,1,0,0,0
"Amscan Bachelorette Bride Goblet, Hot Pink",Health & Personal Care,2,0,0,N,Y,Broken,"When I received it, it was broken. Not happy",8/8/2014,0,0,0,0,0,0,0,0,0,1,0,0,0
"Metabolic Nutrition Synedrex Diet Supplement Capsules, 45 Count",Health & Personal Care,1,0,0,N,Y,Better safe than sorry,"Seal was broken & one pill was missing. Not chancing it, returning!",7/26/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
"Pyle Sports Heart Rate Monitor Watch with Minimum, Average Heart Rate, Calories, Target Zones",Health & Personal Care,1,2,3,N,N,Pyle heart rate monitor,Very Difficult to understand directions. Never did figure out how to get calorie count. Ended up buying another brand because i couldn't get any help from the company.,2/18/2013,0,0,0,0,0,0,0,0,1,1,0,0,1
"Gabrialla Elastic Maternity Belt, Medium Support",Health & Personal Care,2,0,1,N,Y,seems supportive. but got a white instead but it says it is black!,"I ordered a black but received a white instead. :(<br /><br />The product it self, just used for half day and it seems pretty supportive.",6/20/2014,0,0,0,0,0,1,0,0,0,1,0,0,0
Aircast Cryo Cuff and Gravity Feed Cooler Size: Medium Knee,Health & Personal Care,5,3,3,N,Y,A friend for your knee,"It was recommended that I get this product for post-op meniscus knee surgery, by friends and professionals. I am glad I acted on the advice. You don't want to keep running,or hobbling, to the refrigerator for ice or bags of peas...this you only need to add ice every six hours or so. As all told me, ice is your friend for the first few days. I did buy the medium size one, I am female 120 pounds. This product was more than worth the cost.",5/20/2013,0,0,0,0,0,0,0,0,0,1,0,0,1
"Now Foods Betaine HCl, 648 mg , 120 Capsules",Health & Personal Care,5,4,5,N,Y,Perfect,The capsules are easier to swallow & it is just as effective as the other product with the same ingredients that was twice the price.<br /> Thank you for both the quality & the value.,5/1/2013,0,0,0,0,0,0,0,0,0,1,0,0,0
Gel Seat Cushion with advanced LiquiCell technology,Health & Personal Care,5,0,1,N,N,Great Seat Pad,"I had bought the insoles from the same company and loved them so I thought I'd give the seatpad a try. It's really thin and portable so I can take it anywhere and it really helps alleviate my back and bottom pain when I sit for long periods of time. You will notice the effect right away, and even more over time.<br /><br />Thanks.",1/15/2013,0,0,0,0,0,0,0,0,1,1,0,0,1
"Puritan's Pride Double Strength Glucosamine, Chondroitin & MSM Joint Soother-240 Capsules",Health & Personal Care,4,0,1,N,Y,yay n stuff,yay it a supplementOMG,4/2/2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaia Sciences PROVEN WEIGHT LOSS with Garcinia Cambogia,Health & Personal Care,5,0,1,N,Y,but once you get into the routine it's easy. When you make your purchase,"This product works! I started losing weight in the first week. It helps curb my appetite and doesn't give me any negative side effects!<br />I thought that it would be hard to take that many pills, but once you get into the routine it's easy.<br />When you make your purchase, they give you a chance to get a second bottle free! I am definitely claiming mine and will continue to use this product. All I had to do in return is write a review. And I wouldn't waste my time on writing this if I didn't want more Garcinia Cambogia!",4/27/2015,0,0,0,1,0,1,0,0,0,1,0,0,1
SlimFast Snack Bars,Health & Personal Care,5,0,0,N,N,Great snack.,"I don't normally buy diet plan stuff, but on a whim, I tried these. They are great. Just before a workout, they give some extra energy. They also taste great. The mint ones too.",6/26/2013,0,0,0,0,0,0,0,0,0,1,0,0,1
Krista's Cups pStyle,Health & Personal Care,5,1,1,N,Y,These are awesome! Great for peeing off a boat,"These are awesome! Great for peeing off a boat, while hiking etc. haven't had any messes. Might be brave enough to try it while skiing next winter.",4/14/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
"Similasan Ear Relief Ear Drops, 0.33 Ounce Bottle",Health & Personal Care,5,5,7,N,Y,Love This!,"Great for dry ear canals too. Terrific for defeating sore ears caused by swimming combined with winter weather. Calms irritation making infections much less likely. In my case, eliminated getting ear infections altogether. Calms minor irritation caused by earplugs and hearing aides. Highly recommend!",12/19/2013,0,0,0,0,0,0,0,0,0,1,0,0,1
